ID,Author,Comment
256,@betanpc8210,This is a great channel! This one is worth a sub! I also like the pixel art.
257,@MAX-nv6yj,"Truly, my friend, people like you spread positivity. You are the kind of person I learn a lot from."
258,@YuTEM,"""You'll often be presented with vague problems and be expected to find a solution"", that's basically my cs experience for my first year in uni"
259,@NoOne-fe3gc,"Ohh the impostor syndrom bit is real. I am a tech lead, 10 yrs experience and I still feel it.
Every promotion you get you will feel it, no matter how experienced you are"
260,@schwepesssssss,"Such a good channel, keep up!"
261,@jorgemariorocha1529,"Thank u , i I needed to hear some advice like this"
262,@cindaellas,That's the mirror of the truth! Well done!
263,@user-ok6yc9xh6o,"The living room!
The answer to the second joke! - 10:19
Loved your video btw, amazing Dude!"
264,@ayberk272,"Great videos, great humor. Keep it up!"
265,@Farzeezy,My tip: Add buffer to your estimates and be firm. You will try to be convinced to lower estimates to either lower cost or simplify resource management. It's okay to estimate higher than what you might think is the right number. Delivering something shouldn't be a speedrun. What you deliver should be made with care and consideration.
266,@Florida_man21,Keep it up dude! Just subscribed!
267,@luay_kelani,Omg the very most absolute best video about being a programmer.
268,@abanopnashat3712,"it's kinda nice every now and then people like you just remind me that imposter syndrome exists, you just made me boost myself up again and say, ""come on dude push urself a little more"", huge thx."
269,@LHippyman,"I'm most likely gonna be a freelance programmer for some time. I'm thinking of learning vanilla Lua (5.3 or the latest) and taking that knowledge with me when I code on Roblox, GMod, and LOVE."
270,@MAX-nv6yj,"This isn't only for programming its also for other tech jobs (:
 keep going my friend <3"
271,@lancemarchetti8673,I thrash out specific coding projects at home and it  brings me thrills and lots of unplanned coffee breaks without a supervisor looking over my middle shoulder.
272,@Kanikkl,Great video explaining important domains of software engineering! Seems like you mixed up stakeholders with customers / project sponsors in your video at 7:35. The roles you have listed all describe relevant stakeholders.
273,@kelpR,im so glad i stumbled upon this vid!
274,@santoshbala0210,"This man should be renamed this channel ""The Heavenly Sloth"". Your videoes are so useful not only for coding for being a student in general."
275,@meltygear5955,"Something MANGA offers that other companies don't: An insane resume buff. 2 years in a MANGA can be an eye-catcher to ANY company you want, including other MANGA's. 2 years in a startup that crashed and burned or their product was never popular enough? Not so much."
276,@Atistatic,Men i really loved the mascot of your channel.
277,@monia8006,"You've just named what i was struggling with - impostor syndrome. I'm 2nd year CS student on uni and ever since the beginning i've always felt so insecure i didn't even talk to people to not embarass myself even tho i knew i was right lol. Thanks for this vid, helped a lot."
278,@JugMelodies,Great thumbnail and video design 
279,@Wayko6217,"Had interview with Google and it was then I realize I needed to learn more. I started with web development, then became an application developer, then made some mobile apps, then python game developer and now I create powershell scripts for work :) but in the end I say learn all you can study your fundamentals it will help with learning other languages"
280,@ericc6820,"I agree.  You don’t get into this for the money.  For me it’s about being creative and giving me some freedom.  But also, I do need to be able to support a family and feel compensated.  So to say money isn’t important wouldn’t be correct. But i totally get what you mean about big tech and bureaucracy."
281,@chadify12,Thank you 
282,@theartisticcoder,What tool do you use to generate the Sloth images in your videos? Or do you draw it yourself?
283,@user-qs5md2lc8m,"feedback, use softer shadows for your text boxes, they will look alot better"
284,@Gabriel-zr4kz,"About generalist depends. I've started as a generalist, most of the jobs that I got was front-end/mobile. I realised that I hate to set paddings. But It's kinda hard to get a backend job."
285,@glurp1er,"Basically, if you want to become a programmer, start by programming.
This applies to all fields of activity.
It sounds elementary, but I've met several young people who don't bother to practice."
286,@user-ge1sq3nx1z,Great video - real useful info
287,@bojacksworldwideweb,"Damn vro, your one really unique Youtuber, do you draw your character? Or does someone else make it for you?"
288,@artax33,I scrolled down to find the 100+ CS Concepts explained as the first recommended.
289,@shivamathiya8384,Like this video loved the sloth part.
290,@askholia,You could have just named this video: FACTS!
291,@mintaxis1433,Your English is so understandable
292,@Muhamedim,"Hey, I'm not a professional I'm just trying to develop some competences:
What does he mean by the basics? Is HTML  one of them??"
293,@lpsinko9705,"i was looking at the chart in 9:13 and i wonder why there is no filed called ""software developement ""or ""desktop apps development"""
294,@codingmickey,"Just 3 mins into the video and I've subscribed.. props on the awesome and actually useful content 

Onto completing the video. Thanks"
295,@karlostj4683,"""You're often going to be presented with a vague problem, and  you're expected to find a solution."" And then there's: You're going to be presented with a vague problem created by someone else's solution combined with a new context."
296,@ern0plus4,Approved. Pure gold.
297,@quantumrishi,Just out of topic question: how did you managed to get variety of poses with the same 
298,@jana2380,"Hi. Can you tell me, where can we find communities online to talk about coding (web dev for me). Love your video."
299,@Tom-lf7zw,Love the ai sloth art
300,@artemdovhyi4312,I love this cute Sloth<3
301,@googlegoodies,"You know am into cloud and also got Oracle cloud architect associate cert ,I am still at my college I don’t wanna get into to Dev role so do I need to do dsa leetcoding I am just confused  pls gib me som advice"
302,@NanerBag,"Based video, i have nothing to say, i just agree with everything 100%."
303,@bernardoprioste765,Great video!!
304,@sanderdejong66,"The biggest challenge: building a network. They don’t teach you how to do that in college or university. Major obstacle for techies, who are usually not the most outgoing types."
305,@Primeagen,"Its about 4 years, me being generalist and exploring different things, yet I am unable to choose one field which I like more. Does anybody have some steps for me to decide?"
306,@sahuf3655,Thanks man ur the best
307,@zedshockblade7157,"Regarding Lesson #7, is it better to apply to any job, even with a different tech stack, and specialize in the career I want later on? Or is it more advisable to specialize early on in your first job?"
308,@arafatmohammadasifbamboowa2211,Underrated
309,@cmartin8093,Learning python just for the heck of it. Plus wouldn't hurt to put it on my resume
310,@lionelt.9124,"It's a decision. I choose long term mutual gain with my partner and friends. All else are just experiments....well, everything is an experiment bit methods and goals effect possible future backlash."
311,@thatone5350,"When you learn a 2nd programming language then you realize that if you know one, you can learn the rest in a week. It's literally just different syntax."
312,@freak7053,"I'm getting a hard time learning javascript, what would you recommend?"
313,@MaesterSilva,Damn even devs want to be Mangakas now.
314,@narsplace,My programming teacher became a programmer just to work 1 day a week and get paid for 5 days.
315,@SheeceGardazi,best advise ever
316,@goonbreathfpv,It kills me inside to see faang listed as fanga
317,@shoyohinata-gt3qs,thank you mr sloth
318,@pablogarin,"I'm just going to state one simple fact of life to all the FAANG engineers with impostor syndrome: It's not you, it's the technical debt someone else left behind masked as ""a feature"" or because ""it's designed that way for security and consistency"". Believe me, when you hear those words, it's not that, it's just some lazy dude who didn't solve the problem and left it for you to solve somehow. They do it that way to deliver and get good perf."
319,@DarKHearT-fd2gl,"i recently started learning c++, im doing it for around 2,5 weeks, i keep getting the impostor syndrome.. when i see people asking for really advanced questions, when i see an advanced algorithm i never seen before, even tho i made a lot of projects i thought about while showering i still have doubts in my skills.."
320,@vetlapavankalyan3780,"9:07 Brainf*ck , Also keep up the good work nice video. I'll graduate in 2024, I'm Learning new things from each video you posted , Thank you Senior"
321,@DJaycerOfficial,"I honestly don’t know what I’m going to become outside of school.  I have 2 very different yet equally complex career paths of music and programming.  The only real overlap is either video game making and/or music programming.  Those on its own are kind of hard to just gain money off of.  So I don’t want to blindly hope for my game to be sold or for better things to be bought in my music program.  I would need something sustainable, like working at a bank.  I’m still in high school so I don’t have much to worry about yet but I should really start to learn."
322,@user-xr8cf8sg2w,"Enjoy the journey not the destination,roger that"
323,@andrewkutches,"Ironically, the people I know who work for Google graduated from Harvard, Stanford & MIT."
324,@georgelionon9050,"As over a decade coding as profession I second all your tips.. However I never felt anything like imposter syndrome, dunno I think its something that comes from American culture, maybe? Europeans on the other hand like to undersell themselves, this was more a repeated feeling.."
325,@gooo1762,Thanks a lot!
326,@emilyau8023,"I'm a simple woman. I see sloth, I click.

As a business analyst, the requirements that a professor gives you is supposed to be replaced by a BA. That's why a good BA is important."
327,@SorryStamin,"Not disregarding the talent, love your vids.  But we're you the kid in class who got roped into doing the PowerPoint in the group project?"
328,@tommydowning3481,"So the first tip is about two programmers (supposedly decent at math) telling you that the amount of applications makes it the hardest job to get? Besides, top tier financial institutions have like 1% acceptance rate."
329,@vladyslavstadnyk2762,"Well, its very helpful... But anyway, realizing what you'll never became a master is kinda frustrating."
330,@revolutionizer099,Just Wow!
331,@willi1978,i don't find scaling a system to millions of users fulfilling. i'd rather build small apps
332,@bubbyft3779,0:42 idk why this joke made me laugh out loud - THE FOOD
333,@fuzzy-02,"Tbh I prefer university over bookcamps and self taught because they teach so many fundamentals. at least here.

From hardware, operating systems, assembly, C, Java, Js, PHP, databases, many maths courses from statistics to probability to other"
334,@cybernetic-ransomware1485,I'm tired of these videos focusing on soft skills when I can't start working as a programmer. It's frustrating when you've been trying to change industries as a mechanical engineer for years and the only feedback from job interviews is: we found someone better.
335,@eLuars,Nice video. I felt the same
336,@pieflies,High level generalists are also pretty indispensable. You don’t need to specialise to be successful.
337,@josecalles7634,"I even now want to get hired at faang:(, but what do i have to do if i only want to be polivalent"
338,@tallonj1,"Are we calling python the fundamentals? Very high level language, if you really want to understand programming at its core, learn c and understand how it maps to what is happening in the computers hardware."
339,@Dix1206,"Annoyed by stupid HR, who never programmed in their life, asking if you know a certain programming language. When programming languages are all the same between them. It's just a few words that change. The skill that matters is how you put the words together."
340,@DanishTroll87,Great video
341,@jason-the-great52,"Google is 100% not the hardest job in the world to get. Let us think about some harder jobs to get.  President of the United States,  King of England, 5-star general of the US Military (5 ever in the history of the world),  Basically any leader of any country in the world."
342,@muhula,6:30 literally took the weight out of my shoulders
343,@sapelu,"How to handle imposter syndrome: a tedtalk by CodingSloth.

Step 1: Be Spiderman
Step 2: refer to step 1"
344,@mrJohnLocke2342,This is a goldmine
345,@lordbobby198,What software do you use to edit videos
346,@MissPiggyM976,200% true !
347,@chunchunmaru5128,"impostor syndrome check.
I was making a mod for a game and a bug would occur at random, i've never figured it our what it was. Then one day a 13yo kid without any experience but just youtubing and copy/pasting code for a month solved it and made my mod 1000times more efficient. (I do thing i'm actually bad at programming xd)"
348,@_MathanS,Where are you working my friend Coding_Sloth !!? 
349,@power_duck1252,"Great video, I cant find a job. Thanks!"
350,@filthydog1220,nice channel. you seem genuine and not some grifter promising you a haram of free food and half a mil salary with 4 months experience
351,@lisiasty688,can i be front end/full stack developer without ability of drawing?
352,@Brian-zx4pi,Thank you
353,@theloststarbounder,3:19: that's the best meme there is lmfao
354,@ChristopherButeau,10. You are always a cog in the machine big or small.
355,@meetshah7751,your video is very posting 
356,@honkhonkv2236,"7:00 ""the intern"" oh god "
357,@cameronsuniverse8,banger
358,@hashimgg88,"I don't give a shit about big company. 
The greet master said : money is everything, i need money."
359,@nutbunny10,1:32 Manga!
360,@dailinchibasgoico6508,Very useful video
361,@Ohioman6969,and 23rd or whatever to like
362,@damsen978,"This channel lol. So we got a Code Sloth and a Code Monkey.
Would be funny to find a Code Human to parody these channels."
363,@taiski5303,great video
364,@fuzzy-02,"Agh... hey man.
I stayee in house from 2020 to 2023... i dont know how to talk to people anymore... im 21 but I feel im still 19 inside. From introvert to hermit"
365,@UpgradingNepal,Thanks
366,@duality4y,I never will ever want to work for such big companies.
367,@h.t.8812,that's so good
368,@mironbarykin2379,"2:00 WTF It's Moscow, I have some flashbacks"
369,@paulurban2,"This is wisdom, kids."
370,@Iam_the_ai_mf,Never wished to work in big tech in my life
371,@udbhav227,Nice video
372,@mslasic1,"the food , benefits , the food "
373,@Eien65,9:13 can someone explain me how python is used in web dev cuz idk?
374,@Apipav1,"Ummm , so basically i like making iOS apps and in the other hand making websites semms cool to me too and im not sure witch one to start learning through… witch one you think is more worth to start learning…."
375,@masterm8840,3:29 be wild'n
376,@Ohioman6969,no way first one to comment
377,@dimaanikeev4816,nice video
378,@belalhoussameldin,That's where ChatGPT comes in handy
379,@tabotcharlesbessong3756,Anyone here looking to work in a startup or start their own startup ?
380,@WhyplayGaming,Now I need to learn to be a normal human being
381,@victorpinasarnault9135,Speaks only trues
382,@bandekhoda7801,Your voice is so similar to Pizzaroni idk why 
383,@adityanverma4476,Make programming your lifestyle
384,@poterlol2379,"dude... I know it's not related or relevant... but due to the cropping and the emoji on the brain f@#k code it prints ""gelln vn"" instead of ""hello world""...
I'm just letting you all know cause I tried to see what it prints and for about half an hour didn't understand what I got wrong... lol"
385,@pikachu_rocks,"guys, can someone guide me if going to college is any good? or not. i mean, i get all resources at the tip of my fingers through the internet, i did find some certs and other handy resources to follow, what should i do then? i'm confused, lol! but i don't mean i get nothing, it's just numbers are quite cackling."
386,@user-ps5rp5wf4q,now the problem is im excessively lazy
387,@rishiaman2288,8:03 ok
388,@pablo.dev.,Do I belong here? Is programming for me? I have 20 years of experience and sometimes I ask myself this questions 
389,@user-di8kl4cc5u,Did you use an AI to generated you're profile pic and assets?
390,@vitorcostalima2904,11:23- Manga?
391,@emteedee1891,imposter syndrome.... i got the wildest story on that
392,@t6hp,I laughed my ass off! @3:19
393,@abdumudi2,9:07 It's BrainFuck
394,@magnaknight9252,"For me, I don’t know where to start learning how to code. I’m just lost."
395,@Bird2920,did you intentionally spell MANGA with the logos?
396,@felipediazvlog,You can buy great food even if not working at Google ! Shocker.
397,@KeyboardBlack-xd4qu,Relax by working at the bank? 
398,@jordanjackson6151,Ha! I went to Harvard. But then I went to IBM. Got like 8 certs. Online but still. College is merely the stepping stone for some of us. Difference is NOT EVERYONE needs it. But my low level brain sure as hell did. At least I’m employed though. Certs make you feel like you got something to masturbate about until you actually get to work.
399,@saidellopez6826,"Yes, the language at 9:07 is called BrainFu**"
400,@choobontoiigame,"It's not FAANG anymore, It's MANGA now ha"
401,@speckbackke9695,"htmx as ""latest"" framework Kappa"
402,@hligfl,"Become a ""savvy developer""! ;)"
403,@kaffeetasse2461,what means leetcode translated to german? google translate says 'leet' in german is 'leet' again...super gugel. what means the word leet?
404,@duard8652,"""Skill issue"""
405,@GrimTheDestroyer,"Networking, welp we tried"
406,@danielrivas2226,why is it always about web development?
407,@GodofStories,"Most importantly, there are more important things in life then making a couple 100k more, from already a highly paid job."
408,@lotar1228,I think i made a mistake starting my biggest project yet...
409,@qeqsiquemechanical9041,"big tech job will suck your soul out, and not in a way that you'd like. also working for billionaire leeches is questionable, to say the least. unless your goal is to disrupt operations."
410,@xevious4142,That AI pixel art is so fucking scuffed lol
411,@124k3_,as he said connections .... can i get some (subscribe  idk any other way to have connection)
412,@mattias3668,"Please don't tell me that the newest big-tech acronym is MANGA … well I guess it's fitting as both should be killed with fire.

Anyhow, how come Spotify is missing? Isn't Spotify the number 1 most sought after, after Google, which is number 1?"
413,@hhputube,"Here is another thing, you do get pay more working non-big tech as well, surprise? No, that's the truth as well!"
414,@waveril5167,Till AI comes and your skills and network means nothing.
415,@victorportable3892,Startups give u big tech work expectations with none of the benefits. Just go to a bigger company that people seem to be happy to work at.
416,@pauloseixas5452,wait just a second when it comes to being more human because my goal is something like zuckerberg (an half-android half-human running on autopilot) the TRUE AND REAL programmer thinks and acts like one may i one day develop the ability to deal with life the same way as programs and then create functions that automatically responde to everyday life event as for more money and reputation as long as isn't part of my needs why should i bother
417,@rishiaman2288,AI made this slide show
418,@DecoyBBQCam,just learn rust
419,@jordanmatthew6315,"Google be woke, no need to apply."
420,@nonefvnfvnjnjnjevjenjvonej3384,do not do leetcode
421,@arturdawid6882,I guess this is US centered. Working culture is so toxic there. Every time I'm super amazed by this
422,@niewazneniewazne1890,FAGMAN > MANGA
423,@bibbibearydear2717,Gross that you use ai art for literally everything
424,@jaaan2914,"How the hell is NETFLIX included in that list?? Apple, Google, Amazon, Meta... Netflix... Pick the odd one out. They're not a TECH company, they're a streaming service, movie studio etc."
